Growth,Log_size,Species,Patch_type,Landscape
8.50916102,6.541029999,Sonneratia alba,Western,53N
13.36342543,6.908754779,Sonneratia alba,Western,53N
10.34817337,6.65929392,Rhizophora mucronata,Northern,53N
10.09637806,6.1828594,Rhizophora mucronata,Western,53N
7.021083964,3.96081317,Rhizophora mucronata,Western,53N
6.66440902,3.113515309,Sonneratia alba,Western,53N
5.981414211,5.521460918,Rhizophora mucronata,Northern,53N
8.201523082,5.43590303,Rhizophora mucronata,Northern,53N
10.53433371,5.493061443,Rhizophora mucronata,Northern,53N
8.180320875,5.647212123,Rhizophora mucronata,Northern,53N
5.087596335,3.80666249,Rhizophora mucronata,Western,53N
11.53243393,8.311091106,Sonneratia alba,Western,53N
11.68721485,6.628041376,Sonneratia alba,Western,53N
8.955706154,3.518980417,Avicennia marina,Central,53N
8.374476889,2.910991045,Sonneratia alba,Central,53N
6.633318433,6.514712691,Sonneratia alba,Northern,53N
9.717188094,6.257667588,Rhizophora mucronata,Central,53N
9.956056283,6.29156914,Rhizophora mucronata,Northern,53N
9.192990734,7.36486362,Rhizophora mucronata,Northern,53N
10.08330598,6.356107661,Sonneratia alba,Northern,53N
7.134093721,3.17805383,Sonneratia alba,Northern,53N
10.58213005,8.08147504,Rhizophora mucronata,Central,53N
7.604520905,6.303076746,Rhizophora mucronata,Central,53N
7.555381944,2.48490665,Sonneratia alba,Central,53N
10.78046557,6.98471632,Rhizophora mucronata,Central,53N
9.031213706,5.780743516,Rhizophora mucronata,Northern,53N
7.677863501,6.099197247,Rhizophora mucronata,Central,53N
7.987948982,4.700480366,Sonneratia alba,Northern,53N
10.21390911,5.598421959,Rhizophora mucronata,Central,53N
6.263398263,5.192956851,Sonneratia alba,Northern,53N
6.040254711,5.059425458,Sonneratia alba,Northern,53N
6.396929655,6.722930592,Rhizophora mucronata,Central,53N
6.031886462,2.48490665,Sonneratia alba,Northern,53N
6.779921907,4.248495242,Sonneratia alba,Western,53N
7.333023014,5.545177444,Rhizophora mucronata,Western,53N
5.934894196,4.842216642,Rhizophora mucronata,Western,53N
10.09773768,7.731930722,Sonneratia alba,Western,53N
11.18317062,6.8134446,Avicennia marina,Central,53N
10.4285119,6.086774727,Avicennia marina,Central,53N
8.85001592,8.656824691,Avicennia marina,Central,53N
8.541544282,4.223177434,Avicennia marina,Central,53N
10.00378527,5.659046581,Sonneratia alba,Western,53N
10.17502119,6.381181298,Avicennia marina,Southern,53N
7.457320731,6.617402978,Sonneratia alba,Western,53N
12.72168281,7.024760234,Avicennia marina,Northern,53N
5.288267031,-0.287682072,Avicennia marina,Northern,53N
7.421775794,3.951243719,Avicennia marina,Northern,53N
10.02015886,6.297799689,Avicennia marina,Northern,53N
8.528627569,5.529429088,Avicennia marina,Northern,53N
5.82156551,5.000584958,Sonneratia alba,Western,53N
6.719013154,6.158037747,Sonneratia alba,Western,53N
5.934894196,7.383678851,Sonneratia alba,Southern,53N
9.527192822,6.376726948,Avicennia marina,Southern,53N
11.07525736,6.28320089,Avicennia marina,Southern,53N
10.22034,5.192956851,Avicennia marina,Southern,53N
5.859717276,5.716204995,Sonneratia alba,Southern,53N
8.163371316,5.241747015,Avicennia marina,Southern,53N
8.507142856,3.855452654,Rhizophora mucronata,Southern,53N
5.141663557,4.276666119,Rhizophora mucronata,Southern,53N
12.97066569,8.13739583,Avicennia marina,Central,53N
8.679312041,7.512890582,Rhizophora mucronata,Southern,53S
10.58575072,7.560080465,Sonneratia alba,Southern,53S
11.04214553,5.358941988,Avicennia marina,Central,53S
4.787491743,3.80666249,Avicennia marina,Central,53S
10.2561846,4.350277936,Sonneratia alba,Southern,53S
9.45469732,7.167037877,Rhizophora mucronata,Southern,53S
11.69624652,6.135564891,Avicennia marina,Central,53S
8.30028019,6.269096284,Rhizophora mucronata,Southern,53S
11.53225739,6.040254711,Sonneratia alba,Southern,53S
9.798626912,5.247024072,Rhizophora mucronata,Southern,53S
9.482274087,6.98471632,Rhizophora mucronata,Southern,53S
8.532081804,5.375278408,Avicennia marina,Central,53S
9.743494841,6.587550015,Sonneratia alba,Southern,53S
5.241747015,6.802394763,Avicennia marina,Eastern,53S
7.521859252,7.426549072,Sonneratia alba,Western,53S
13.67140921,7.551712215,Sonneratia alba,Western,53S
8.772067941,5.529429088,Rhizophora mucronata,Western,53S
8.219460783,4.430816799,Rhizophora mucronata,Central,53S
6.915723449,6.65929392,Avicennia marina,Western,53S
8.011686729,6.897704943,Avicennia marina,Western,53S
9.622185087,6.70930434,Avicennia marina,Western,53S
7.007600614,6.762151305,Avicennia marina,Western,53S
10.33630839,6.344319705,Sonneratia alba,Central,53S
10.19286818,5.752572639,Avicennia marina,Western,53S
7.934871566,5.81711116,Avicennia marina,Eastern,53S
9.46962297,6.708084084,Avicennia marina,Eastern,53S
11.43496392,5.97126184,Rhizophora mucronata,Central,53S
10.88837108,7.475339237,Sonneratia alba,Central,53S
8.711937268,6.788126792,Avicennia marina,Eastern,53S
8.906257878,5.529429088,Avicennia marina,Eastern,53S
8.101677747,7.007600614,Avicennia marina,Eastern,53S
7.333023014,5.342334252,Rhizophora mucronata,Central,53S
8.332789468,6.394426525,Rhizophora mucronata,Eastern,53S
10.07006075,5.693732139,Sonneratia alba,Central,53S
5.81711116,3.988984047,Rhizophora mucronata,Central,53S
11.94833765,4.366278278,Sonneratia alba,Central,53S
9.660523874,6.739336627,Avicennia marina,Eastern,53S
7.326465614,5.97126184,Sonneratia alba,Eastern,53S
10.9251468,7.021083964,Avicennia marina,Eastern,53S
9.006999448,6.194405391,Rhizophora mucronata,Central,53S
12.71629409,5.429345629,Sonneratia alba,Central,53S
3.008154794,4.412798293,Sonneratia alba,Eastern,53S
9.732877152,7.268484493,Avicennia marina,Central,53S
11.98192859,6.59509722,Sonneratia alba,Central,53S
4.143134726,6.340359304,Rhizophora mucronata,Central,53S
12.69597081,5.298317367,Avicennia marina,Eastern,53S
10.87494806,6.956545443,Sonneratia alba,Eastern,53S
11.27347467,6.353935164,Rhizophora mucronata,Eastern,53S
11.19486666,7.326465614,Avicennia marina,Eastern,53S
7.444248649,7.017954071,Sonneratia alba,Southern,53S
10.13459927,4.474491862,Sonneratia alba,Eastern,53S
11.1844214,6.728628613,Sonneratia alba,Southern,53S
7.028866105,5.764407096,Sonneratia alba,Southern,53S
9.86526634,6.057954288,Rhizophora mucronata,Eastern,53S
5.480638923,2.890371758,Rhizophora mucronata,Southern,53S
10.633786,6.061456919,Sonneratia alba,Southern,53S
9.741556685,6.581851994,Rhizophora mucronata,Eastern,53S
11.95818804,6.416732283,Sonneratia alba,Southern,53S
12.56777394,5.036952602,Sonneratia alba,Eastern,53S
11.59757906,6.799891633,Sonneratia alba,Eastern,53S
8.642944397,4.722953222,Sonneratia alba,Eastern,53S
9.17781718,6.327936784,Sonneratia alba,Eastern,53S
10.98108047,6.568779912,Sonneratia alba,Eastern,53S
5.598421959,2.302585093,Sonneratia alba,Southern,53S
5.634789603,6.109247583,Sonneratia alba,Southern,53S
12.24481728,6.371611847,Sonneratia alba,Central,53S
11.17437106,3.162305473,Sonneratia alba,Central,53S
6.376726948,4.430816799,Rhizophora mucronata,Eastern,53S
11.58988651,6.461468176,Sonneratia alba,Central,53S
9.874933745,5.204006687,Sonneratia alba,Central,53S
4.564348191,3.555348061,Rhizophora mucronata,Eastern,53S
4.9698133,4.718498871,Sonneratia alba,Central,53S
5.730099783,4.836281907,Rhizophora mucronata,Eastern,53S
10.54954313,6.933423026,Sonneratia alba,Eastern,53S
10.41601173,3.784189634,Sonneratia alba,Central,53S
7.560080465,3.604138226,Sonneratia alba,Eastern,53S
12.61649213,6.423246964,Sonneratia alba,Northern,53S
5.030437921,3.295836866,Rhizophora mucronata,Northern,53S
12.36276865,6.982862751,Sonneratia alba,Northern,53S
10.87880162,6.643789733,Sonneratia alba,Northern,54N
6.715383386,7.248681866,Rhizophora mucronata,Northern,54N
7.454719949,4.412798293,Sonneratia alba,Northern,54N
10.81154448,4.49980967,Sonneratia alba,Central,54N
11.58185433,7.413065722,Rhizophora mucronata,Western,54N
3.526360525,3.871201011,Sonneratia alba,Western,54N
10.36545901,6.313548046,Rhizophora mucronata,Northern,54N
9.46962297,4.317488114,Sonneratia alba,Western,54N
7.203405521,4.799914263,Sonneratia alba,Western,54N
8.994668836,5.455321115,Sonneratia alba,Western,54N
10.46287474,5.480638923,Sonneratia alba,Western,54N
7.644919345,4.890349128,Sonneratia alba,Northern,54N
7.138867,6.135564891,Rhizophora mucronata,Northern,54N
9.743494841,6.186208624,Rhizophora mucronata,Eastern,54N
10.82099754,7.102499356,Rhizophora mucronata,Eastern,54N
10.25555188,7.113549192,Sonneratia alba,Western,54N
10.10928147,4.366278278,Sonneratia alba,Central,54N
11.58230226,7.278628942,Rhizophora mucronata,Central,54N
6.492239835,4.343805422,Rhizophora mucronata,Western,54N
8.152486076,8.23483028,Sonneratia alba,Central,54N
7.896552702,6.789253235,Sonneratia alba,Central,54N
10.6763697,5.940171253,Rhizophora mucronata,Central,54N
6.349138991,5.398162702,Rhizophora mucronata,Central,54N
10.0067659,6.553933404,Sonneratia alba,Central,54N
9.980448594,6.989335266,Rhizophora mucronata,Central,54N
8.930626469,6.516193076,Rhizophora mucronata,Central,54N
10.55727001,7.051855623,Sonneratia alba,Central,54N
7.310550159,4.276666119,Sonneratia alba,Southern,54N
8.019612794,6.777076955,Sonneratia alba,Western,54N
6.29156914,5.087596335,Sonneratia alba,Western,54N
6.587550015,5.529429088,Sonneratia alba,Southern,54N
9.584314813,5.080627666,Sonneratia alba,Southern,54N
4.143134726,0.916290732,Rhizophora mucronata,Southern,54N
4.840242308,3.295836866,Rhizophora mucronata,Northern,54N
10.38868763,5.966146739,Sonneratia alba,Northern,54N
11.87422968,8.874867636,Rhizophora mucronata,Northern,54N
7.272398393,6.011267174,Rhizophora mucronata,Western,54N
9.811372264,6.086774727,Rhizophora mucronata,Northern,54N
6.109247583,3.624340933,Rhizophora mucronata,Northern,54N
10.818177,5.11349268,Sonneratia alba,Northern,54N
11.70162663,7.566957803,Rhizophora mucronata,Western,54N
9.940108736,6.12249281,Rhizophora mucronata,Northern,54N
7.965545573,3.465735903,Sonneratia alba,Northern,54N
